lr-AdamW,step,utils/points_in_common,train/loss_step,train/loss_cluster_step,train/loss_cluster_region_step,train/loss_w_ce_step,train/loss_w_reg_step,gamma_step,train/re_loss_w_ce_step,train/re_loss_w_reg_step,regamma_step,w/w0_step,w/w1_step,w/w2_step,w/w3_step,w/region_w0_step,w/region_w1_step,w/region_w2_step,w/region_w3_step,epoch,valid/loss,valid/IoU/person,valid/IoU/rider,valid/IoU/car,valid/IoU/trunk,valid/IoU/plants,valid/IoU/traffic sign,valid/IoU/pole,valid/IoU/trashcan,valid/IoU/building,valid/IoU/cone-stone,valid/IoU/fence,valid/IoU/bike,valid/IoU/other-ground,valid/mIoU,train/loss_epoch,train/loss_cluster_epoch,train/loss_cluster_region_epoch,train/loss_w_ce_epoch,train/loss_w_reg_epoch,gamma_epoch,train/re_loss_w_ce_epoch,train/re_loss_w_reg_epoch,regamma_epoch,w/w0_epoch,w/w1_epoch,w/w2_epoch,w/w3_epoch,w/region_w0_epoch,w/region_w1_epoch,w/region_w2_epoch,w/region_w3_epoch
0.001,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,0.995230495929718,3.7631311416625977,1.5408353805541992,2.2222957611083984,0.1567855328321457,0.004397541284561157,1.0,0.25450119376182556,0.9631597995758057,1.0,0.27535030245780945,0.2688975930213928,0.21746139228343964,0.23858001828193665,0.009543727152049541,0.7701114416122437,0.15297792851924896,0.06736575812101364,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.001,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,0.996101438999176,3.3147709369659424,1.242828607559204,2.0719423294067383,0.08841393142938614,0.00206717848777771,1.0,0.1144702360033989,0.6624191403388977,1.0,0.25936609506607056,0.21929551661014557,0.2619246244430542,0.25972700119018555,0.01590970903635025,0.6109291911125183,0.11285045742988586,0.2603086829185486,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.001,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,0.9930320382118225,2.935215711593628,0.8999573588371277,2.0352582931518555,0.07464320212602615,0.0007894933223724365,0.5,0.10677876323461533,0.6191478967666626,1.0,0.2606836259365082,0.24747036397457123,0.23717792332172394,0.25496286153793335,0.013843527063727379,0.540364682674408,0.13997159898281097,0.30581972002983093,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.001,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,0.9949554800987244,2.812589168548584,0.7607229351997375,2.051866292953491,0.0719006359577179,0.004447638988494873,0.5,0.12048674374818802,0.4920540153980255,1.0,0.28716257214546204,0.25178763270378113,0.2415020763874054,0.21980124711990356,0.01773562654852867,0.47725793719291687,0.27841541171073914,0.2265891134738922,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.001,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,0.9989304542541504,2.7563390731811523,0.7082430124282837,2.048096179962158,0.06620931625366211,0.023358076810836792,0.25,0.11333632469177246,0.4369010031223297,1.0,0.3482617139816284,0.23118925094604492,0.2197173833847046,0.2010224312543869,0.023240527138113976,0.4810335636138916,0.20991551876068115,0.28580597043037415,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
